"start","end","person","text"
1811.4,1812.0,"DRILL SERGEANT","Gump!"
1814.5,1816.7,"DRILL SERGEANT","Wieso haben sie das Gewehr so schnell zusammengesetzt?"
1817.5,1819.1,"FORREST","Weil sie es mir gesagt haben, Drill Sergeant."
1819.1,1831.1,"DRILL SERGEANT","Ach du heiliger Strohsack. Das ist ein neuer Kompanierekord! Wenn das nicht den Verlust eines verdammt guten Soldaten bedeuten würde, Würde ich sie für die Offizierslaufbahn vorschlagen. Sie werden nochmal General Private Gump und jetzt Waffe auseinandernehmen und weitermachen."
1834.0,1845.5,"BUBBA","Was ich dir gerade sagen wollte, Shrimps sind Früchte des Meeres. Du kannst sie am Spieß braten, Backen, Braten, Auf den Grill tun, Sautieren. Es gibt... Äh.. Shrimps Kebab, Shrimps Creol"
1845.7,1856.5,"BUBBA","Shrimps mit Gumbo, In der Pfanne gebraten, Oder fritiert, Es gibt Shrimps mit Bananen, Kokusnussshrimps, Pfeffershrimps..."
1856.5,1871.1,"BUBBA","...Shrimpssuppe, Shrimpseintopf, Shrimpssalat, Shrimps mit Kartoffel, Shrimpsburger, Shrimpssandwich... Das... Das wars glaub ich... Ja"
1873.6,1876.6,"FORREST (V.O.)","Die Nächte in der Army, Sind sehr, Sehr einsam."
1877.4,1883.4,"FORREST (V.O.)","Wir lagen in unseren Feldbette und meine Mama fehlte mir und Jenny fehlte mir."
1887.4,1891.8,"YOUNG PRIVATE","Hey Gump! Das sind Titten, Da kommst du auf Ideen."
1904.1,1912.4,"FORREST (V.O.)","Wie es aussahe hatte Jenny irgendwie Ärger gekriegt, Weil sich in ihrer Collegejacke hat fotografieren lassen. Sie wurde jedenfalls vom College geworfen."
1912.5,1915.8,"SONG","My baby does the hanky-panky..."
1916.3,1933.4,"FORREST (V.O.)","Aber das war garnicht so schlimm. Ein Mann in Memphis Tennesse nämlich hatte einen Club. Und der hat ihr einen Job angeboten, Als Sängerin. Bei der erst besten Gelegenheit bin ich mit dem Bus nach Memphis gefahren um mir ihren Auftritt anzusehen."
1933.1,1947.1,"EMCEE","Das war Amber, Amber Flame. Schenkt ihr doch mal nen schönen Applaus Leute! Gut gemacht Amber. Und jetzt, Etwas fürs Auge und etwas fürs Ohr. Direkt auf Hollywood Kalifornien exklusiv für sie unsere Beatnik Muse Ich bitte nochmal um einen satten Applaus für unsere sinnliche Bobbie Dylan."
1949.3,1949.301,"CROWD",""
1956.0,1977.9,"JENNY","(Gesang) ""Yes, And how many seas must the white dove said, Before she sleeps in the sand."
1973.4,1978.6,"FORREST (V.O.)","Ihr Traum war wahrgeworden. Sie war eine Folk Sängerin."
1978.6,1990.5,"JENNY","(Gesang) ""Yes, How many times must the cannonballs fly before they're forever banned."
1985.8,1986.0,"MAN #1","Tu doch mal die Gitarre weg Süße."
1987.2,1987.6,"MAN #2","Willst du nicht mal aufstehen Baby?"
1989.3,1992.1,"MAN #3","Ich fänds besser sie würde Mundharmonika spielen."
1991.0,1995.9,"JENNY","(Gesang) ""The answer, My friend is blowing in the wind. The answer is blowing in..."
1994.2,1994.201,"MAN #",""
1996.6,1996.601,"MEN",""
1996.9,1998.6,"MAN #5","Hey Schätzchen ich hab noch was für dich."
2000.3,2001.4,"MAN #5","Hey! Hey was fällt dir denn ein?"
2001.8,2006.6,"JENNY","Du Wichser, Ich sing ein Lied verdammt! Polly schmeiß den Kerl raus."
2008.4,2008.5,"MAN #","Zeig lieber, Was du hast!"
2012.7,2012.701,"JENNY",""
2016.7,2020.7,"JENNY","Forrest, Forrest was machst du denn hier? Was soll das alles?"
2021.1,2021.101,"FORREST",""
2021.3,2024.3,"JENNY","Lass mich runter!"
2029.8,2034.6,"JENNY","So geht das doch nicht weiter Forrest. Du kannst nicht dauernd versuchen mich zu retten."
2034.0,2035.9,"FORREST","Aber die Kerle wollte dich begrabschen."
2035.9,2041.9,"JENNY","Es gibt viele Leute, Die das wollen. Du kannst, Das geht so nicht weiter du kannst doch nicht machen."
2042.4,2045.6,"FORREST","Ich kann nichts dafür. Ich liebe dich."
2045.9,2049.9,"JENNY","Forrest, Du weißt garnicht, Was Liebe ist."
2056.4,2064.699,"JENNY","Weißt, Du noch wie wir gebetet haben, Forrest? Wir haben gebetet Gott soll einen Vogel aus mir machen, Damit ich weit weit weg fliegen kann."
2066.5,2068.0,"FORREST","Ja, Ich weiß."
2071.5,2073.5,"JENNY","Denkst du, Ich könnte von der Brücke fliegen?"
2080.5,2082.9,"FORREST","Was meinst du denn damit, Jenny?"
2086.5,2087.6,"JENNY","Ach nichts."
2090.699,2092.199,"JENNY","Ich muss weg von hier."
2094.6,2096.0,"FORREST","Warte, Jenny!"
2096.0,2099.3,"JENNY","Forrest lass mich in Ruhe hast du gehört? Lass mich gefälligst in Ruhe!"
2100.3,2101.4,"JENNY","Kann ich mitfahren?"
2101.5,2102.5,"DRIVER","Wo willst du denn hin?"
2102.5,2103.3,"JENNY","Ist ganz egal."
2103.3,2104.3,"DRIVER","Na dann hüpf rein."
2104.4,2115.6,"FORREST","Also auf Wiedersehen Jenny. Sie schicken mich nach, Nach Vietnam. Das ist ein ganz, Ganz anderes Land."
2118.4,2119.7,"JENNY","Sei so nett, Wart doch mal."
2121.7,2129.6,"JENNY","Hör zu, Du musst mir jetzt was versprechen ja? Wenn du je in Gefahr kommst, Dann sei bloß nicht tapfer, Sondern lauf weg ok? Lauf einfach weg."
2130.6,2131.32,"FORREST","Okay."
2136.7,2141.5,"FORREST","Jenny! Ich werde dir jeden Tag schreiben."
2164.5,2188.7,"SONG","Some folks are born made to wave the flag. Ooh, They're red, White and blue. And when the band plays ""Hail to the Chief,"" Ohh, They point the cannon at you all. It ain't me. It ain't me. I ain't no Senator's son, No. It ain't me. It ain't me..."
2187.9,2193.7,"FORREST (V.O.)","Also, Sie haben uns erzählt Vietnam wäre ganz anders als die Vereinigten Staaten von America."
2193.8,2198.6,"FORREST (V.O.)","Und abgesehen vom Barbecue und von den Bierdosen wars das auch."
2208.2,2224.5,"BUBBA","In dem Wasser gibt's garantiert Shrimps in Massen. Das heißt in Vietnam kann man gut Shrimp fischen. Ich sag dir was, Wenn wir den Krieg gewonnen haben und und wir alles übernommen haben holen wir uns Shrimpfischer aus Amerika und holen die Shrimps hier raus. Wir werden die ganze Zeit Shrimps fangen man, So viele Shrimps, Also das kannst du dir garnicht vorstellen."
2226.0,2227.4,"LT. DAN","Ihr seid die beiden Neuen huh?"
2228.2,2229.1,"BUBBA","Guten Morgen Sir!"
2228.2,2229.1,"FORREST","Guten Morgen Sir!"
2229.0,2239.4,"LT. DAN","Hey! Hände runter ja? Salutiert nicht vor mir, Es wimmelt hier nur so von beschissenen Scharfschützen, Die gerne Offiziere abknallen. Ich bin Lieutenant Dan Taylor, Willkommen im vierten Platoon."
2241.0,2242.2,"LT. DAN","Was is'n mit deiner Lippe?"
2243.5,2245.5,"BUBBA","Ich bin schon so auf die Welt gekommen, Sir."
2245.9,2252.6,"LT. DAN","Naja gut, Zieh sie lieber ein. Sonst hängst du irgendwann am Stacheldraht fest. Wo kommt ihr zwei denn her?"
2252.8,2254.1,"BUBBA","Alabama, Sir."
2252.8,2254.1,"FORREST","Alabama, Sir."
2255.7,2256.7,"LT. DAN","Seid ihr Zwillinge?"
2259.4,2261.3,"FORREST","Nein wir sind nicht verwandt, Sir."
2263.8,2266.3,"LT. DAN","Nagut, Es ist ziemlich einfach hier."
2267.3,2277.0,"LT. DAN","Bleibt bei mir, Und lernt was von den Jungs, Die schon ne Weile hier sind, Dann geht alles glatt. In eurem Marschgepäck gibt es was, Das kann den Unteschied zwischen einem lebenden und einem totan Soldaten bedeuten."
2278.6,2289.5,"LT. DAN","Socken. Frotteesohle und olivgrün. Sorgt immer für trockene Füße wenn wir draußen rummaschieren. Vergesst das nicht, Bei jedem Halt die Socken wechseln. Die Vietcong frisst den Soldaten den Fuß direkt vom Bein."
2290.0,2293.6,"LT. DAN","Sergeant Sims! Verdammt nochmal wo bleiben die Seile, Die sie bestellen sollen."
2293.6,2296.1,"SGT. SIMS","Die hab ich in der Materialkammer beim Battalion angefordert."
2295.4,2298.0,"LT. DAN","Ja, Ja, Ja. Dann rufen sie diese Schreibstubenwichser nochmal an."
2297.4,2309.8,"FORREST (V.O.)","Lt. Dan der verstand was von seinem Job, Ich war richtig froh, Dass er mein Lieutenant war. Er kam aus einer Familie mit ruhmreicher, Militärischer Tradition. Irgendjemand in seiner Familie hat immer gekämpft und ist gefallen."
2315.5,2316.7,"LT. DAN","Sie müssen denen einfach in den Arsch treten."
2316.4,2317.4,"SGT. SIMS","Wird erledigt Lieutenant"
2317.4,2318.1,"LT. DAN","Na dann los!"
2318.5,2322.6,"FORREST (V.O.)","Ich glaube er stellte an sich selbst sehr hohe Ansprüche."
2323.4,2336.2,"LT. DAN","Also ihr Männer seid aus Arkansas huh? Naja... Bin da mal durchgekommen Bedrock ist 'n hübsches Städtchen. So ihr stellt jetzt euren ganzen Kram, Geht zu eurem Platoonseargent, Da kriegt ihre eure Kampfausrüstung."
2336.9,2339.8,"LT. DAN","Wenn ihr Hunger habt, Wir haben grad 'n paar Steaks auf dem Grill da drüben."
2340.8,2351.2,"LT. DAN","Es gibt ein Paar feststehende Regeln in diesem Platoon. Erstens: Passt auf eure Füße auf. Zweitens: Kommst nicht auf die Idee Dummheiten zu machen, Lasst euch nicht umbringen, Meine ich."
2357.2,2359.3,"FORREST","Oh Gott, Ich hoffe ich werde ihn nie enttäuschen."
2370.4,2387.1,"FORREST (V.O.)","Ich hab sehr viel von der Gegend da zu sehen gekriegt. Wir haben immer ganz ganz lange Wanderungen gemacht. Und wir waren dauernd auf der Suche nach einem Gewissen, Charlie."
2389.9,2389.901,"SONG",""
2394.9,2395.2,"LT. DAN","Stehen bleiben!"
2395.2,2396.4,"SGT. SIMS","Alle Mann stehen bleiben!"
2399.5,2410.7,"FORREST (V.O.)","Es hat nicht immer Spaß gemacht. Lt. Dan hatte dann öfter mal so komische Vorahnungen gehabt wegen einem Stein oder einem Weg er hat dann gesagt wir sollen in Deckung gehen und die Schnautze halten."
2411.1,2413.0,"LT. DAN","In Deckung! Schnautze halten!"
2413.9,2415.0,"FORREST (V.O.)","Und das haben wir gemacht."
2432.2,2444.4,"FORREST (V.O.)","Viel versteh ich ja nicht davon, Aber ich glaube in dem Krieg da dienten manche, Das waren die Besten jungen Amerikaner. Das war Dallas aus Phenix und Cleveland, Der war aus Detroid."
2444.7,2449.3,"CLEVELAND","Hey Tex, Tex, Verdammt nochmal was ist denn da los?"
2449.7,2454.0,"FORREST (V.O.)","Und Tex war, Achje, Ich weiß nicht mehr wo Tex herkam."
2454.0,2463.7,"LT. DAN","Ach nichts. Viertes Platoon auf die Füße. Wir hams nicht weit bis zum Fluss."
2464.0,2465.1,"LT. DAN","Vorwärts Marsch!"
2471.6,2475.6,"FORREST (V.O.)","Das gute an Vietnam war, Das man immer irgendwas vorhatte."
2480.7,2482.2,"LT. DAN (V.O.)","Gump, Kontrollier das Loch."
2483.2,2485.2,"FORREST (V.O.)","Und es gab auch immer irgendwas zu tun."
2486.1,2486.9,"LT. DAN","Vorwärts Männer!"
2486.8,2488.3,"SGT. SIMS","Los gebt Feuerschutz!"
2493.7,2499.1,"FORREST (V.O.)","Eines Tages fing es an zu regnen und es hörte vier Monate lang nicht auf."
2500.0,2505.1,"FORREST (V.O.)","Wir haben zu ziemlich jeden Regen gehabt, Den es gibt. Regen mit kleinen prasselnden Tropfen."
2506.0,2507.7,"FORREST (V.O.)","Richtig schönen dicken Tropfen."
2509.1,2511.3,"FORREST (V.O.)","Regen, Der von der Seite kam."
2511.6,2516.2,"FORREST (V.O.)","Und manchmal sogar regen, Der von unten nach oben zu kommen schien."
2517.4,2520.4,"FORREST (V.O.)","So ein Mist, Es regnete sogar nachts."
2520.6,2521.3,"BUBBA","Na Forrest"
2521.9,2522.8,"FORREST","Na Bubba"
2523.0,2526.3,"BUBBA","Weißt du was, Ich lehn mich bei dir an und du lehnst dich dafür bei mir an."
2526.3,2551.8,"BUBBA","Dann brauchen wir wenigstens nicht mit dem Kopf im Schlamm zu pennen. Weißt du warum wir so gute Kameraden sind Forrest? Wir passen aufeinander auf, Deswegen. Wie Brüder ist sowas. Du Forrest, Ich hab mir mal was überlegt. Ich werd dich jetzt was ganz wichtiges fragen ja? Was hälst du davon, Wenn du mit mir ins Shrimpgeschäft einsteigst?"
2553.5,2554.5,"FORREST","Okay."
2555.1,2576.6,"BUBBA","Man ich sag dir was du, Ich hab das alles schon durchgerechnet. So und so viel Pfund Shrimps um das Boot abzuzahlen, So und so viel Pfund für Diesel. Wohnen können wir ja auf dem Boot, Dann fällt die Miete schonmal weg. Ich bin der Kaptain, Aber wir machen alles zusammen und teilen alles durch zwei verstehst du was ich sage? Fifty Fifty. Und Forrest, So viel Shrimps wie du essen kannst!"
2577.9,2579.7,"FORREST","Das ist wirklich ne gute Idee"
2580.7,2582.7,"FORREST (V.O.)","Bubba hatte wirklich ne gute Idee"
2586.5,2600.3,"FORREST (V.O.)","Ich hab das sogar Jenny geschrieben, Ich hab ihr immer Briefe geschrieben. Nicht jeden Tag, Aber fast jeden Tag. Ich hab ihr erzählt was ich so mache und sie gefragt, Was sie so macht. Und ich hab ihr geschrieben, Dass ich immer an sie denke."
2602.2,2611.3,"FORREST (V.O.)","Und das ich mich schon darauf freue mal einen Brief von ihr zu kriegen, Wenn sie Zeit dafür hat. Ich hab ihr immer gesagt, Dass es mir gut geht."
2612.9,2618.1,"FORREST (V.O.)","Und jeden Brief hab ich unterschrieben: In Liebe Forrest Gump"
2628.3,2644.8,"SONG","There's something happenin' Here. What it is ain't exactly clear. There's a man with a gun over there, Telling' Me I got to beware."
2632.1,2642.8,"FORREST (V.O.)","Dann kam ein Tag, Wir waren grade mal unterwegs, Wie üblich, Da hat plötzlich jemand den Regen abgestellt, Einfach so und die Sonne kam raus."
2648.0,2649.1,"LT. DAN","Geht in Deckung!"
2658.4,2660.4,"LT. DAN","Ihr sollt das MG herbringen, Verdammt nochmal!"
2660.4,2662.4,"BUBBA","Forrest! Alles OK?"
2665.5,2668.5,"LT. DAN","Strongarm, Strongarm, Hier Leg Lima 6 Wir liegen unter Beschuss!"
2668.6,2670.7,"BUBBA","Sanitäter wir haben einen Verwundeten!"
2671.0,2672.9,"LT. DAN","Hier Leg Lima 6!"
2674.5,2681.2,"LT. DAN","Strongarm, Unter schwerem Beschuss von der feindlichen um Blue Line Fluss 2. Mörserfeuer und Raketen."
2682.0,2684.1,"SOLDIER WITH BIG MACHINE GUN","Es klemmt, Verflucht nochmal es klemmt!"
2685.8,2691.5,"LT. DAN","Verdammt nochmal Männer! Holt das MG! Halt voll auf die Bäume drauf!"
2692.5,2701.4,"LT. DAN","Wir stehen unter Beschuss, Es gibt Verletzte! Wir ziehen uns zurück auf Blue Line! Rückzug!"
2701.9,2704.4,"BUBBA","Forrest! Lauf! Lauf Forrest!"
2704.6,2705.9,"LT. DAN","Rückzug!"
2708.2,2709.4,"BUBBA","Lauf!"
2709.5,2710.8,"SGT. SIMS","Rückzug!"
2713.0,2716.9,"LT. DAN","Gump, Verdammt nochmal, Verdammt nochmal lauf!"
2735.7,2736.5,"SOLDIER","Alle zurückziehen!"
2740.3,2744.0,"FORREST (V.O.)","Ich lief und lief, Genauso wie Jenny es mir gesagt hatte!"
2746.7,2752.7,"FORREST (V.O.)","Ich lief so schnell und weit, Dass ich ziemlich bald ganz alleine war und das war eine böse Sache."
2753.2,2753.9,"FORREST","Bubba."
2756.6,2760.3,"FORREST (V.O.)","Bubba war mein bester guter Freund. Ich musste nachsehen ob es ihm gut geht."
2763.7,2767.4,"1ST SOLDIER","Ist noch jemand von uns da?"
2766.8,2769.4,"2ND SOLDIER","Ja hier, Wir sind zu dritt."
2769.6,2771.2,"1ST SOLDIER","Verdammt nochmal. Wo denn?"
2772.0,2772.6,"FORREST","Bubba?"
2774.2,2779.8,"FORREST (V.O.)","Auf meinem Rückweg und auf der Suche nach Bubba, Naja da hat aufeinmal der Junge auf der Erde gelegen."
2779.6,2780.5,"FORREST","Tex!"
2782.7,2783.4,"FORREST","Okay!"
2783.9,2790.9,"FORREST (V.O.)","Ich konnte ihn doch nicht einfach alleine da liegen lassen, Bei der Angst, Die er hatte. Also hab ich ihn aufgehoben und bin mit ihm da raus."
2806.0,2812.2,"FORREST (V.O.)","Jedesmal wenn ich wieder zurücklief um Bubba zu suchen sagte irgendein anderer zu mir: Hilf mir Forrest, Hilf mir."
2819.1,2821.3,"DALLAS","Ich hör nichts, Ich hör nichts."
2823.4,2825.2,"2ND WOUNDED SOLDIER","Bleib schön liegen, Du wirst schon wieder."
2828.8,2832.0,"FORREST (V.O.)","Allmälig kriegte ich Angst, Dass ich Bubba nie mehr finde."
2830.9,2833.0,"STRONGARM","...Bereich für einen Luftschlag over!"
2832.8,2840.7,"LT. DAN","Ich weiß wie gefährlich meine Lage ist! Charlie scheint hier überall zu sein ich brauche auf der Stelle Kampfbomber, Beeilt euch over!"
2840.8,2844.1,"STRONGARM","Leg Lima 6, Leg Lima 6 bitte kommen, Over!"
2842.2,2844.0,"FORREST","Lt. Dan, Coleman ist tot!"
2844.0,2847.5,"LT. DAN","Ich weiß das er tot ist, Mein ganzes verdammtes Platoon ist hinüber!"
2847.9,2847.901,"STRONGARM",""
2848.4,2855.7,"LT. DAN","Was machst du da? Lass mich hier! Hau ab hörst du?! Verzieh dich!"
2860.2,2865.1,"STRONGARM","Leg Lima 6 Leg Lima 6, Hier ist Strong Arm ich melde eure Kampfbomber sind im Anflug. Over"
2865.6,2868.0,"FORREST (V.O.)","Und dann hat mich irgendwas angesprungen und gebissen!"
2868.8,2869.6,"FORREST","Mich hat was gebissen!"
2877.8,2895.5,"LT. DAN","Ihr gelben Hurenböcke! Ich kann mein Platoon nicht verlassen! Du sollst mich da lassen Gump! Kümmer dich nicht um mich, Hau lieber ab! Bist du taub? Verflucht nochmal lass ich runter! Sieh zu das du deinen Arsch rettest!"
2899.3,2903.3,"LT. DAN","Ich hatte dich nicht gebeten mich da raus zu holen, Verdammt! Herr Gott! Wo willst du denn jetzt schon wieder hin?"
2903.4,2904.3,"FORREST","Ich suche Bubba!"
2904.5,2907.5,"LT. DAN","Ich habe einen sofortigen Luftschlag angeordnet, Die bombardieren alles mit Napalm!"
2908.4,2910.9,"LT. DAN","Gump du bleibst hier verdammt, Das ist ein Befehl!"
2910.9,2913.4,"FORREST","Ich muss Bubba suchen!"
2928.4,2928.9,"BUBBA","Forrest..."
2937.3,2937.8,"FORREST","Bubba.."
2938.3,2940.9,"BUBBA","Es geht mir gut Forrest! Es geht mir gut!"
2949.5,2951.1,"FORREST","Oh, Bubba, Nein..."
2951.5,2953.0,"BUBBA","Ich werd schon wieder..."
2961.6,2964.9,"FORREST","Komm jetzt, Komm Bubba, Komm jetzt!"
2969.0,2972.6,"BUBBA","Es geht mir gut Forrest, Es geht mir gut Forrest."
3009.8,3013.2,"LT. DAN","Rauchsignale! Gump, Wie viele holst du denn da noch raus?"
3013.9,3018.7,"FORREST (V.O.)","Hätt ich gewusst, Dass ich das letzte mal mit Bubba rede, Hätte ich mir was besseres einfallen lassen."
3020.4,3021.2,"FORREST","Hey Bubba"
3022.8,3029.9,"BUBBA","Hey Forrest. Forrest, Wieso ist das passiert?"
3031.2,3032.7,"FORREST","Du hast einen Schuss abgekriegt."
3034.4,3037.9,"FORREST (V.O.)","Dann hat Bubba etwas gesagt, Was ich niemals vergessen werde."
3038.9,3040.1,"BUBBA","Ich möchte nach Hause!"
3042.6,3056.9,"FORREST (V.O.)","Bubba war mein bester guter Freund. Und sogar ich weiß, Dass man sowas nicht an der nächsten Straßenecke finden kann. Bubba wollte Captain auf seinem Shrimpkutter werden. Stattdessen ist er an dem Fluss in Vietnam gestorben."
3062.4,3064.5,"FORREST","Das ist alles, Was ich darüber sagen kann."
3066.7,3068.0,"MAN","Es war eine Kugel, Hab ich recht?"
3070.9,3071.4,"FORREST","Eine Kugel?"
3072.1,3073.5,"MAN","Na, Was sie angesprungen und gebissen hat."
3075.8,3093.6,"FORREST","Oh, Ja Sir, Hat mich direkt in den Allerwertesten gebissen. Es hat geheißen sone Wunde ist 1 Millionen Dollar wert. Aber die Army hat das Geld wohl behalten ich hab nie einen Cent davon gesehen. Das einzig gute wenn man ne Verletzung am Allerwertesten hat ist..."
3094.2,3102.6,"FORREST (V.O.)","man kriegt viel Eis. Die haben mir so viel Eis gegeben, Wie ich essen konnte. Und soll ich ihnen mal was sagen, Im Bett nebenan, Lag ein guter Freund von mir."
3105.1,3112.3,"FORREST","Lt. Dan ich hab ein Eis, Hier bitte. Lt. Dan... Ein Eis, Bitte."
3123.6,3125.1,"MALE NURSE","Zeit für ihr Bad Lieutenant."
3133.9,3134.5,"MALE NURSE","Harper..."
3138.4,3147.5,"SOLDIER","Cooper, Larson, Webster, Gump, Gump..."
3147.6,3148.5,"FORREST","Ich bin Forrest Gump!"
3177.4,3181.3,"SOLDIER","Gump, Wieso guckst du dir nur diese blöde Scheisse an? Dreh das ab!"
3179.6,3179.601,"ANNOUNCER",""
3189.6,3194.1,"SOLDIER","Hey Gump! Weißt du wie das hier geht?"
3196.4,3197.7,"SOLDIER","Na komm, Dann zeig ichs dir ok?"
3200.4,3208.8,"SOLDIER","Also das wichtigste an dem Spiel ist, Ganz egal was passiert, Aber du darfst nie den Ball aus dem Auge verlieren."
3211.8,3212.4,"SOLDIER","Na dann..."
3216.1,3219.5,"FORREST (V.O.)","Aus irgendeinem Grund, War ich wohl ein Naturtalent beim Ping Pong."
3220.1,3222.4,"SOLDIER","Siehst du? Jeder Idiot kann das spielen."
3223.5,3225.1,"FORREST (V.O.)","Jedenfalls spielte ichs von da an dauernd."
3227.2,3230.9,"FORREST (V.O.)","Ich hab sogar Ping Pong gespielt wenn ich garkeinen hatte der mit mir Ping Pong gespielt hat."
3239.6,3248.9,"FORREST (V.O.)","Die Leute im Lazaret haben gesagt ich hätte dabei ausgesehen wie eine Ente im Wasser. Ich weiß nicht was das heißen soll. Sogar Lt. Dan kam und hat mir bei spielen zugesehen."
3257.2,3258.0,"OFFICER","Private Gump?"
3260.1,3260.9,"FORREST","Ja, Sir!"
3262.1,3262.8,"OFFICER","Stehen sie bequem."
3264.1,3267.7,"OFFICER","Mein Sohn, Ihnen wird die Tapferkeitsmedallie verliehen."
3268.7,3272.2,"FORREST","Stellen sie sich vor Lt. Dan, Die wollen mir doch tatsächlich die..."
3278.7,3282.6,"FORREST","Ma'am, Was haben die denn mit Lt. Dan gemacht."
3283.1,3284.0,"NURSE","In die Heimat geschickt."
3290.6,3293.5,"FORREST (V.O.)","Zwei Wochen später, Habe ich Vietnam verlassen."
3294.3,3304.9,"ANCHORMAN","Die Zeremonie wurde eröffnet mit einem eindeutigen Bekenntnis des Präsidenten, Hinsichtlich der Notwendigkeit einer weiteren Eskallation des Krieges in Vietnam. Johnson verlieh 4 Tapferkeitsmedallien an Männer, Aus den vier Waffengarden."
3304.9,3307.4,"PRESIDENT JOHNSON","Amerika ist ihnen zu tiefstem Dank verpflichtet mein Sohn."
3309.6,3312.6,"PRESIDENT JOHNSON","Wie ich höre sind sie verletzte worden. Wo wurden sie getroffen?"
3313.3,3314.6,"FORREST","In den Allerwertesten, Sir."
3315.2,3316.7,"PRESIDENT JOHNSON","Na das muss ja ein Anblick sein."
3317.2,3318.5,"PRESIDENT JOHNSON","Das möcht' Ich gerne sehen."
3333.0,3334.1,"PRESIDENT JOHNSON","Hm, Donnerwetter!"
3336.4,3344.1,"FORREST (V.O.)","Danach ist Mama ins Hotel gegangen um sich ein bisschen hinzulegen und ich hab einen Spaziergang gemacht um mir die Hauptstadt unserer Nation anzusehen."
3343.5,3348.3,"ISABEL","Hilary. Hey, Ich hab jetzt die Veteranen. Was soll ich jetzt mit denen machen? Wo sollen die denn jetzt hin?"
3346.9,3348.1,"HILARY","Wir warten schon eine halbe Stunde auf euch."
3348.1,3350.8,"HILARY","also seht zu das die sich jetzt endlich aufstellen."
3348.4,3358.7,"FORREST (V.O.)","Es war ein Glück das Mama sich hingelegt hatte, Denn die Straßen waren voller Menschen, Die sich alle die Statuen und Denkmäler ansehen wollten. Manche Leute waren schrecklich laut und schubsten mich."
3358.0,3359.4,"HILARY","Kommen sie stellen sie sich auf, Na kommen sie stellen sie sich auf."
3359.1,3359.8,"HILARY","Ok, Folgt mir. Los jetzt."
3361.7,3365.7,"FORREST (V.O.)","Und ganz egal wo ich hinging, Überall musste ich mich einreihen."
3378.2,3378.201,"HILARY",""
3382.1,3385.2,"VET","Hey du bist genau der richtige Mann für das hier, Ganz ehrlich."
3383.3,3383.301,"ABBIE HOFFMAN",""
3386.3,3386.9,"FORREST","Ok."
3388.2,3395.3,"FORREST (V.O.)","Oben stand ein Mann, Der hielt eine kleine Rede. Er trug als Hemd die amerikansche Flagge aus irgendeinem Grund."
3394.3,3394.301,"ABBIE HOFFMAN",""
3396.4,3410.0,"FORREST (V.O.)","Besonders gern hatte er das Wort mit ""SCH"" Er benutzte es dauernd. ""SCH"" Hier und ""SCH"" Da und jedesmal wenn er es sagte, Haben die Leute gejubelt aus irgendeinem Grund."
3400.2,3400.201,"ABBIE HOFFMAN",""
3402.7,3402.701,"FORREST (V.O.)",""
3405.0,3405.001,"ABBIE HOFFMAN",""
3414.3,3416.7,"ABBIE HOFFMAN","Na kommt Männer, Kommt rauf hier."
3416.9,3417.7,"HILARY","Kommen sie, Kommen sie,"
3418.3,3419.5,"HILARY","kommen sie bitte, wir gehen jetzt da rauf na los!"
3419.9,3423.3,"VET","Na los erzähl ihnen was man."
3436.8,3438.3,"ABBIE HOFFMAN","Erzähl uns ein bisschen was vom Krieg man."
3439.3,3440.5,"FORREST","Vom Krieg in Vietnam?"
3440.9,3443.6,"ABBIE HOFFMAN","Vom scheiss Krieg in scheiss Vietnam!"
3468.5,3469.2,"FORREST","Naja..."
3469.5,3472.7,"FORREST (V.O.)","eigentlich gab es ja nur eins was ich über den Krieg in Vietnam zu sagen hatte."
3472.9,3477.8,"FORREST","...eigentlich gibt es nur eins was ich über den Krieg in Vietnam zu sagen habe."
3481.0,3482.4,"FORREST","In Vietnam..."
3494.1,3495.3,"POLICEMAN","Was fällt ihnen ein?"
3495.0,3497.3,"HILARY","Hey, Nimmst du wohl deine Pfoten da weg du gottverdammter Bulle du!"
3498.0,3500.2,"ISABEL","Herr Gott noch eins, Was haben sie denn jetzt schon wieder angestellt."
3505.6,3506.4,"CROWD","Red doch endlich lauter1"
3507.6,3508.0,"HILARY","Gib mir das her!"
3512.4,3512.7,"HILARY","So jetzt!"
3514.7,3517.1,"FORREST","... und das ist alles was ich, Darüber sagen kann."
3524.3,3529.8,"ABBIE HOFFMAN","Du hast je dermaßen recht man. Du hast alles gesagt. Wie heißt du man?"
3531.1,3533.4,"FORREST","Mein Name ist Forrest, Forrest Gump."
3534.6,3535.7,"ABBIE HOFFMAN","Forrest Gump!"
3535.9,3537.2,"CROWD","Gump!"
3538.6,3542.8,"JENNY","Forrest! Forrest!"
3546.3,3547.1,"FORREST","Jenny!"
3547.7,3548.8,"JENNY","Forrest!"
3564.7,3566.4,"JENNY","Ahhaha"
3575.1,3577.7,"FORREST (V.O.)","Das war der glücklichste Moment in meinem Leben."
3580.1,3587.3,"FORREST (V.O.)","Wir waren wieder wie Pech und Schwefel. Sie führte mich in der Stadt herum und dann stellte sich mich auch"
3587.3,3588.4,"FORREST (V.O.)","ihren neuen Freunden vor."
3589.1,3593.9,"RUBEN","Wirst du wohl das Rollo runter machen! Und beweg deinen weißen Arsch vom Fenster weg! Weißt du nicht, Dass wir im Krieg sind!"
