onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1705.840	1.960	BUBBA	1	speech	regular	HS	Ich hab schon immer aufm Shrimpkutter gearbeitet.	
1708.120	2.640	BUBBA	1	speech	regular	HS;HS	Erst auf aufm Boot von meinem Onkel, das ist der Bruder von meiner Mutter.	
1711.120	1.280	BUBBA	1	speech	regular;addendum	HS	Da war ich ungefähr neun.	
1713.080	3.320	BUBBA	1	speech	regular	complex	Und jetzt hatt ich vor, mir selbst ein Boot zu kaufen, da haben sie mich eingezogen.	
1717.720	0.880	BUBBA	1	speech	regular	HS	Getauft bin ich auf...	
1719.000	1.400	BUBBA	1	speech	regular	none	...Benjamin Buford Blue.	
1721.000	1.280	BUBBA	1	speech	regular;addendum	HS	Aber alle nennen mich Bubba.	
1723.080	1.920	BUBBA	1	speech	regular	HS	So wie die weißen Arbeiter sich begrüßen.	
1725.400	0.880	BUBBA	1	speech	regular	question	Wie findest du das?	
1726.640	1.520	FORREST	1	speech	regular	HS	Mein Name ist Forrest Gump.	
1728.640	1.480	FORREST	1	speech	regular	HS	Mich nennen alle Forrest Gump.	
1731.040	4.360	FORREST (V.O.)	1	speech	regular	complex	Also Bubba kam aus Bayou La Batre, Alabama und seine Mama kochte Shrimps.	
1735.760	1.760	ERZAEHLER	1	speech	regular	HS	Eine schwarze Köchin bedient einen Weißen.	
1737.560	2.880	ERZAEHLER	1	speech	regular	HS	Im gleichen Haus bedient auch die schwarze Großmutter ihren weißen Herrn.	
1737.360	2.120	FORREST (V.O.)	1	speech	regular	HS	Und die Mama von ihrer Mama kochte Shrimps.	#movie#
1740.280	2.560	FORREST (V.O.)	1	speech	regular	HS	Und die Mama von der Mama von der Mama kochte Shrimps.	
1743.160	3.640	FORREST (V.O.)	1	speech	regular	HS;NS	Bubbas Familie wusste alles, was man übers Shrimpgeschäft wissen muss.	
1747.040	2.560	FORREST (V.O.)	1	speech	regular	HS;NS	Ich weiß alles, was man über das Shrimpgeschäft wissen muss.	
1750.200	0.600	BUBBA	1	speech	asking	question	Weißt du was?	
1750.880	2.120	BUBBA	1	speech	regular	HS	Eines Tages werde ich meine eigenen Shrimps fangen.	
1753.400	1.320	BUBBA	1	speech	regular;addendum	NS	Wenn das alles hier vorbei ist.	
1758.320	0.560	FORREST	1	speech	regular	none	Okay	
1759.360	0.440	DRILL SERGEANT	1	speech	regular	address	Gump	
1760.320	2.720	DRILL SERGEANT	1	speech	asking	question	Wozu sind Sie einzig und allein in der Army?	
1763.120	1.480	FORREST	1	speech	regular	NS;NS2	Um das zu tun, was sie mir sagen.	
1764.640	0.960	FORREST	1	speech	regular	address	Drill Seargent	
1765.680	0.720	DRILL SERGEANT	1	speech	exclamation	none	Gottverdammt	
1766.480	0.280	DRILL SERGEANT	1	speech	regular	address	Gump	
1766.840	0.680	ERZAEHLER	1	speech	regular	none	Im Schlafsaal	###locale###
1767.560	1.280	DRILL SERGEANT	1	speech	regular	HS	Sie sind ein verfluchtes Genie.	
1769.000	1.960	DRILL SERGEANT	1	speech	regular	HS	Das war eine hochintelligente Antwort.	
1771.200	2.640	DRILL SERGEANT	1	speech	regular	HS	Sie haben wohl einen Intelligenzquotienten von 160.	
1773.160	2.440	DRILL SERGEANT	1	speech	regular	HS	Sie sind eine außergewöhnliche Begabung.	
1775.640	0.680	DRILL SERGEANT	1	speech	regular	address	Private Gump	
1776.520	1.120	ERZAEHLER	1	speech	regular	none	Die Männer sind in Unterwäsche.	
1778.000	1.200	DRILL SERGEANT	1	speech	regular	imperative;address	Alle mal herhören, Männer!	
1780.040	5.200	FORREST (V.O.)	1	speech	regular	complex	Es gibt keinen besonderen Grund, aber ich hab in die Army gepasst wie der Deckel auf den Topf. Es ist gar nicht schwer. 	
1780.280	3.400	DRILL SERGEANT	0	speech	regular	complex	Haltet euch an diesen Mann, dann werdet ihr es weit bringen.	
1785.800	4.800	FORREST (V.O.)	1	speech	regular	complex	Man muss sein Bett richtig machen und immer dran denken, schön stramm zu stehen und jedes Mal antworten:	
1790.840	0.720	FORREST (V.O.)	1	speech	exclamation	none	Zu Befehl	
1791.680	0.960	FORREST (V.O.)	1	speech	regular	address	Drill Sergeant	
1792.960	0.920	DRILL SERGEANT	1	speech	regular	question	Ist das klar?	
1794.200	0.800	FORREST & RECRUITS	1	speech	exclamation	none	Zu Befehl	
1795.040	1.040	FORREST & RECRUITS	1	speech	regular	address	Drill Sergeant	#movie#
1795.080	1.440	ERZAEHLER	1	speech	regular	HS	Jeder setzt sein Gewehr zusammen.	
1796.840	2.640	BUBBA	1	speech	regular	HS;NS	Du musst nichts tun, nur die Netze übern Meeresgrund ziehen.	
1799.960	2.800	BUBBA	1	speech	regular	HS	An nem guten Tag kannst du über 100 Pfund Shrimps fangen.	
1803.200	6.200	BUBBA	1	speech	regular	complex	Wenn alles richtig hinhaut, verdienen zwei Mann, die zehn Stunden fischen, abzüglich das, was du für den Sprit brauchst, so ungefähr...	
1809.560	1.000	FORREST	1	speech	regular	address	Fertig, Drill Sergeant	
1811.360	0.360	DRILL SERGEANT	1	speech	regular	address	Gump	
1811.720	2.360	MAN	0	speech	asking	question	wer schneidet den gelben die Eier ab?	
1814.480	2.160	DRILL SERGEANT	1	speech	asking	question	Wieso haben sie das Gewehr so schnell zusammengesetzt?	
1817.400	2.920	FORREST	1	speech	regular	NS	Weil sie es mir gesagt haben.	
1818.360	0.640	FORREST	1	speech	regular	address	Drill Sergeant	
1819.120	1.160	DRILL SERGEANT	1	speech	exclamation	none	Ach, du heiliger Strohsack	
1820.560	1.520	DRILL SERGEANT	1	speech	exclamation	none	Das ist ein neuer Kompanierekord.	
1822.520	4.560	DRILL SERGEANT	1	speech	regular	NS;HS	Wenn das nicht den Verlust eines verdammt guten Soldaten bedeuten würde, würde ich sie für die Offizierslaufbahn vorschlagen.	
1827.200	3.720	DRILL SERGEANT	1	speech	commanding	complex	Sie werden nochmal General Private Gump und jetzt Waffe auseinandernehmen und weitermachen!	
1834.080	0.160	BUBBA	1	non	regular	none	äh	
1834.320	1.320	BUBBA	1	speech	regular	NS	Was ich dir gerade sagen wollte.	
1835.800	1.560	BUBBA	1	speech	regular	HS	Shrimps sind Früchte des Meeres.	
1837.680	1.520	BUBBA	1	speech	regular	HS	Du kannst sie am Spieß braten.	
1839.520	2.960	BUBBA	1	speech	regular;addendum	none	Backen, Braten, Auf den Grill tun, Sautieren. 	
1842.520	0.440	BUBBA	1	speech	regular	HS	Es gibt...	
1843.000	0.200	BUBBA	1	non	regular	none	...äh...	
1843.240	0.960	BUBBA	1	speech	regular	none	Shrimps Kebab,	###objects?###
1844.440	1.040	BUBBA	1	speech	regular	none	Shrimps Creol,	
1846.080	1.280	BUBBA	1	speech	regular	none	Shrimps mit Gumbo,	
1847.400	0.800	ERZAEHLER	1	speech	regular	HS	Sie putzen Stiefel.	
1848.240	1.320	BUBBA	1	speech	regular	none	in der Pfanne gebraten,	
1849.680	0.840	BUBBA	1	speech	regular	none	oder fritiert	
1850.760	1.440	BUBBA	1	speech	regular	HS	Es gibt Shrimps mit Bananen,	
1852.880	1.080	BUBBA	1	speech	regular	none	Limonenshrimps, 	
1854.080	1.240	BUBBA	1	speech	regular	none	Kokusnussshrimps,	
1855.520	0.960	BUBBA	1	speech	regular	none	Pfeffershrimps,	
1856.560	1.080	BUBBA	1	speech	regular	none	Shrimpssuppe,	
1857.720	1.000	BUBBA	1	speech	regular	none	Shrimpeintopf,	
1858.760	1.680	ERZAEHLER	1	speech	regular	HS	Sie scheuern den Boden mit Zahnbürsten.	
1859.040	0.920	BUBBA	1	speech	regular	none	Shrimpssalat, 	#movie only#
1860.520	1.440	BUBBA	1	speech	regular	none	Shrimps mit Kartoffel,	
1862.280	1.080	BUBBA	1	speech	regular	none	Shrimpsburger, 	
1864.000	1.200	BUBBA	1	speech	regular	none	Shrimpssandwich	
1868.040	1.280	BUBBA	1	speech	regular	complex	Das, das wars glaub ich.	
1870.440	0.200	BUBBA	1	speech	regular	none	Ja	
1873.120	39.200	OST	1	song	instrumental	instrumental		
1871.400	0.640	ERZAEHLER	1	speech	regular	HS	Es ist dunkel.	
1872.120	0.920	ERZAEHLER	1	speech	regular	HS	Bubba liegt wach im Bett.	
1873.280	3.040	FORREST (V.O.)	1	speech	regular	HS	Die Nächte in der Army, sind sehr, sehr einsam.	
1877.040	1.680	FORREST (V.O.)	1	speech	regular	HS	Wir lagen in unseren Feldbetten.	
1879.280	1.400	FORREST (V.O.)	1	speech	regular;addendum	HS	und meine Mama fehlte mir.	
1881.480	1.560	FORREST (V.O.)	1	speech	regular;addendum	HS	und Jenny fehlte mir.	
1883.440	1.720	ERZAEHLER	1	speech	regular	HS	Forrest liegt oben im Etagenbett.	
1885.280	1.720	ERZAEHLER	1	speech	regular	HS	Sein Nachbar wirft ihm einen 'Playboy' zu.	
1887.360	0.640	YOUNG PRIVATE	1	speech	regular	address	Hey, Gump	
1889.560	2.000	YOUNG PRIVATE	1	speech	regular	HS;HS	Das sind Titten, da kommst du auf Ideen.	
1892.280	2.400	ERZAEHLER	1	speech	regular	AND	Forrest schaut in die Zeitschrift und blättert um.	
1896.680	3.760	ERZAEHLER	1	speech	regular	HS	Auf einem Bild kniet Jenny nur in weit aufgeknöpfter College-Jacke.	
1901.480	2.080	ERZAEHLER	1	speech	regular	HS	Ungläubig starrt Forrest auf das Foto.	
1904.160	5.440	FORREST (V.O.)	1	speech	regular	HS;NS;NS2	Wie es aussah, hatte Jenny irgendwie Ärger gekriegt, weil sich in ihrer Collegejacke hat fotografieren lassen.	
1910.120	2.040	FORREST (V.O.)	1	speech	regular	HS	Sie wurde jedenfalls vom College geworfen.	
1912.320	18.680	TOMMY JAMES & THE SHONDELLS	0	song	regular		“Hanky Panky”	
1912.440	2.560	TOMMY JAMES & THE SHONDELLS	0	singing	regular	foreign	My baby does the hanky-panky.	
1915.400	1.000	ERZAEHLER	1	speech	regular	HS	Er kommt in einen Club.	
1916.480	16.600	STRIP CLUB CROWD	0	speech	regular		Background rambling	
1916.560	1.320	FORREST (V.O.)	1	speech	regular;addendum	HS	Aber das war gar nicht so schlimm.	
1918.760	2.840	FORREST (V.O.)	1	speech	regular	HS	Ein Mann in Memphis Tennesse nämlich hatte einen Club.	
1922.400	2.000	FORREST (V.O.)	1	speech	regular	HS	Und der hat ihr einen Job angeboten.	
1925.280	0.800	FORREST (V.O.)	1	speech	regular	none	Als Sängerin	
1926.080	1.520	ERZAEHLER	1	speech	regular	none	Zwischen Porträts eins von Jenny	
1927.640	5.480	FORREST (V.O.)	1	speech	regular	HS;NS	Bei der erst besten Gelegenheit bin ich mit dem Bus nach Memphis gefahren, um mir ihren Auftritt anzusehen.	
1933.080	4.000	STRIP CLUB CROWD	1	non	regular	none	Whoooo hahahahaha yea	
1933.040	1.560	EMCEE	1	speech	regular	HS	Das war Amber, Amber Flame.	
1934.640	12.440	EMCEE	1	speech	commanding	imperative;address	Schenkt ihr doch mal nen schönen Applaus, Leute!	
1936.120	0.720	EMCEE	1	speech	regular	HS;address	Gut gemacht, Amber.	
1937.200	0.600	EMCEE	1	speech	regular	none	Und jetzt...	
1938.120	3.440	EMCEE	1	speech	regular	none	...etwas fürs Auge und etwas fürs Ohr, direkt auf Hollywood Kalifornien.	
1941.680	2.040	EMCEE	1	speech	regular	none	Exklusiv für sie unsere Beatnik Muse	
1943.760	3.120	EMCEE	1	speech	regular	HS	Ich bitte nochmal um einen satten Applaus für unsere sinnliche Bobbie Dylan.	
1947.240	1.040	ERZAEHLER	1	speech	regular	HS	Der Vorhang öffnet sich.	
1948.200	0.480	STRIP CLUB CROWD	1	non	regular	none	Yeaaaa	
1949.080	2.440	ERZAEHLER	1	speech	regular	HS	Jenny sitzt mit einer großen Gitarre auf einem Barhocker.	
1954.280	1.720	ERZAEHLER	1	speech	regular	HS	Das Instrument verdeckt Brust und Schoß. 	
1956.120	4.720	JENNY	1	singing	regular	foreign	How many roads must a man walk down...	
1959.680	1.920	ERZAEHLER	1	speech	regular	HS	Sie trägt nur einen hautfarbenen Slip.	
1961.680	4.960	JENNY	1	singing	asking	question	...before you call him a man?	
1956.920	15.680	JENNY	1	singing	regular	foreign	Yes, And how many seas must the white dove sail,...	
1973.280	3.840	JENNY	1	singing	asking	foreign	...before she sleeps in the sand?	
1973.480	1.480	FORREST (V.O.)	1	speech	regular	HS	Ihr Traum war wahrgeworden.	
1976.600	1.600	FORREST (V.O.)	1	speech	regular	HS	Sie war eine Folk Sängerin.	
1978.680	5.520	JENNY	1	singing	regular	foreign	Yes, how many times must the cannonballs fly...	
1984.960	4.920	JENNY	1	singing	regular	foreign	...before they're forever banned.	
1985.800	0.200	MAN #1	0	speech	regular	imperative;address	Tu doch mal die Gitarre weg, Süße.	
1987.200	0.400	MAN #2	0	speech	asking	question;address	Willst du nicht mal aufstehen, Baby?	
1988.680	1.920	STRIP CLUB CROWD	1	speech	regular		Hahahahahaha	
1989.280	2.800	MAN #3	0	speech	regular	HS;NS	Ich fänds besser, sie würde Mundharmonika spielen.	
1991.000	4.880	JENNY	1	speech	regular	foreign	The answer, My friend is blowing in the wind. The answer is blowing in...	
1991.800	1.680	STRIP CLUB CROWD	1	non	regular	none	Hahahaahaha	
1993.520	2.480	ERZAEHLER	 	speech	regular	HS	Ein Mann will ihr einen Geldschein in den Pumps stecken.	
1994.200	0.000	MAN ###	0	speech	regular	###	###	###
1996.600	0.000	MEN AT CLUB	0	speech	regular	###	###	###
1996.680	2.000	STRIP CLUB CROWD	1	non	regular	none	Hahahahahaha	
1996.880	1.720	MAN #5	0	speech	regular	address;HS	Hey Schätzchen, ich hab noch was für dich.	
1998.040	1.040	ERZAEHLER	1	speech	regular	HS	Sie tritt seine Hand weg.	
1999.400	0.400	STRIP CLUB GUEST 1	1	non	regular	none	Whoei	
2000.280	0.840	MAN #5	1	speech	exclamation;asking	address;address;question	Hey! Hey, was fällt dir denn ein?	
2000.400	1.080	STRIP CLUB CROWD	1	non	regular	none	Whoooo Wöööh	
2001.400	0.280	JENNY	1	non	regular	none	Eyiiii	
2001.440	1.480	ERZAEHLER	1	speech	regular	HS	Er schüttet sein Bier über seine Füße.	
2001.920	3.000	JENNY	1	speech	regular	complex	Du Wichser, ich sing ein Lied, verdammt.	
2004.920	1.440	JENNY	1	speech	commanding	address;imperative	Polly, schmeiß den Kerl raus!	
2002.000	4.080	STRIP CLUB CROWD	1	non	regular	none	woooo eyyyyy	
2005.080	0.320	STRIP CLUB GUEST 2	1	non	regular	none	Wauw	
2005.480	2.120	STRIP CLUB CROWD	1	non	regular	none	Hahahahaha	
2007.600	0.680	STRIP CLUB GUEST 3 	1	non	regular	none	Whoooo	
2008.400	0.080	MAN #	1	speech	commanding	imperative;NS	Zeig lieber, was du hast!	
2008.600	5.600	STRIP CLUB CROWD	1	non	regular	none	Hahahahahaha	
2008.640	2.040	ERZAEHLER	1	speech	regular	HS	Forrest marschiert mit grimmiger Miene nach vorn.	
2011.720	2.200	ERZAEHLER	1	speech	regular	AND	Er packt den Mann von hinten und stößt ihn zu Boden.	
2012.680	0.000	JENNY	1	speech	regular	###	###	
2014.200	0.480	STRIP CLUB GUEST 1	1	non	regular	none	Wuuuähuu	
2015.120	0.560	JENNY	1	speech	regular	address	Forrest	
2015.680	1.000	ERZAEHLER	1	speech	regular	HS	Er schubst noch einen um.	
2016.760	0.320	JENNY	1	speech	regular	address	Forrest	
2017.200	1.200	JENNY	1	speech	asking	question	Was machst du denn hier?	
2018.480	0.880	ERZAEHLER	1	speech	regular	HS	Er steigt auf die Bühne	
2019.360	1.280	JENNY	1	speech	asking	question	Was soll das alles?	
2019.280	1.720	STRIP CLUB GUEST 3 	1	non	regular	none	Whooooo eyyyyyy	
2021.080	0.000	FORREST	1	speech	regular	###	###	
2021.040	0.840	ERZAEHLER	1	speech	regular	HS	Und hebt sie hoch.	
2021.680	3.120	STRIP CLUB CROWD	0	speech	regular	###	Background rambling	
2022.720	1.400	JENNY	1	speech	commanding	imperative	Lass mich runter!	
2024.200	0.480	ERZAEHLER	1	speech	regular	HS	Er tut es.	
2025.600	1.600	STRIP CLUB CROWD	1	speech	regular		Ooooowwwwww hehe	
2025.640	2.280	ERZAEHLER	1	speech	regular	AND	Sie drückt ihm die Gitarre in die Hand und eilt von der Bühne.	
2028.080	1.120	ERZAEHLER	1	speech	regular	HS	Forrest hetzt ihr nach. 	
2029.640	1.000	ERZAEHLER	1	speech	regular	none	Später auf einer Brücke	
2030.920	1.520	JENNY	1	speech	regular	HS;address	So geht das doch nicht weiter, Forrest.	
2032.480	1.880	JENNY	1	speech	regular	HS;NS	Du kannst nicht dauernd versuchen, mich zu retten.	
2033.560	2.120	FORREST	1	speech	regular	HS	Aber die Kerle wollte dich begrabschen.	
2035.800	1.760	JENNY	1	speech	regular	HS;NS	Es gibt viele Leute, die das wollen.	
2038.560	3.280	JENNY	1	speech	regular	complex	Du kannst, das geht so nicht weiter, das kannst du doch nicht machen.	
2042.480	1.080	FORREST	1	speech	regular	HS	Ich kann nichts dafür.	
2044.520	0.760	FORREST	1	speech	regular	HS	Ich liebe dich.	
2045.880	104.600	OST	0	song	instrumental	instrumental		
2046.040	3.760	JENNY	1	speech	regular	address	Forrest	
2047.960	1.680	JENNY	1	speech	regular	HS;NS	Du weißt gar nicht, was Liebe ist.	
2050.440	1.880	ERZAEHLER	1	speech	regular	HS	Jenny schaut nachdenklich aufs Wasser.	
2053.480	1.080	ERZAEHLER	1	speech	regular	HS	Forrest betrachtet sie.	
2056.400	1.960	JENNY	1	speech	asking	question;NS;address	Weißt Du noch, wie wir gebetet haben, Forrest?	
2060.240	4.080	JENNY	1	speech	regular	HS;NS;NS2	Wir haben gebetet, Gott soll einen Vogel aus mir machen, damit ich weit weit weg fliegen kann.	
2066.440	1.160	FORREST	1	speech	regular	HS	Ja, ich weiß.	
2071.520	1.600	JENNY	1	speech	asking	question;HS;NS	Denkst du, Ich könnte von der Brücke fliegen?	
2073.840	2.760	ERZAEHLER	1	speech	regular	HS	Sie steigt auf eine niedrige Querstrebe des Geländers.	
2077.000	3.560	ERZAEHLER	1	speech	regular	AND	Beunruhigt sieht Forrest sie von unten nach oben an und kommt etwas näher.	
2080.760	1.320	FORREST	1	speech	regular	question	Was meinst du denn damit?	
2082.120	0.440	FORREST	1	speech	regular	address	Jenny	
2086.480	0.640	JENNY	1	speech	regular	none	Ach, nichts	
2087.720	2.000	ERZAEHLER	1	speech	regular	HS	Ein Autoscheinwerfer streift ihr Gesicht.	
2090.640	1.160	JENNY	1	speech	regular	HS	Ich muss weg von hier.	
2092.280	1.760	ERZAEHLER	1	speech	regular	AND	Sie stellt sich auf die Fahrbahn und winkt.	
2094.760	0.520	FORREST	1	speech	regular	imperative	Warte!	
2095.440	0.520	FORREST	1	speech	regular	address	Jenny	
2096.080	0.360	JENNY	1	speech	regular	address	Forrest	
2096.480	1.320	JENNY	1	speech	commanding;asking	imperative;question	Lass mich in Ruhe, hast du gehört?	
2097.840	1.240	JENNY	1	speech	commanding	imperative	Lass mich gefälligst in Ruhe!	
2100.080	50.480	OST	0	song	instrumental	instrumental		
2100.440	0.640	JENNY	1	speech	asking	question	Kann ich mitfahren?	
2101.600	0.720	DRIVER	1	speech	asking	question	Wo willst du denn hin?	
2099.600	3.360	JENNY	1	speech	regular	HS	Ist ganz egal.	
2103.120	0.800	DRIVER	1	speech	commanding	imperative	Na, dann hüpf rein!	
2104.520	0.880	FORREST	1	speech	regular	none	Also, auf Wiedersehen	
2105.480	0.360	FORREST	1	speech	regular	address	Jenny	
2106.400	1.480	ERZAEHLER	1	speech	regular	AND	Sie bleibt stehen und sieht zu ihm.	
2108.880	0.960	FORREST	1	speech	regular	HS	Sie schicken mich nach...	
2110.280	0.760	FORREST	1	speech	regular;addendum	HS	...nach Vietnam.	
2113.800	1.440	FORREST	1	speech	regular	HS	Das ist ein ganz, ganz anderes Land.	
2118.400	1.120	JENNY	1	speech	commanding	imperative	Sei so nett, wart doch mal!	
2121.640	1.880	JENNY	1	speech	commanding;regular;asking	complex	Hör zu, Du musst mir jetzt was versprechen, ja?	
2124.680	3.320	JENNY	1	speech	regular;commanding;asking	complex;NS;imperative;imperative	Wenn du je in Gefahr kommst, dann sei bloß nicht tapfer, sondern lauf weg, ok?	
2128.240	1.080	JENNY	1	speech	commanding	imperative	Lauf einfach weg!	
2130.680	0.600	FORREST	1	speech	regular	none	Okay	
2132.240	1.520	ERZAEHLER	1	speech	regular	HS	Jenny geht zur Beifahrerseite.	
2136.720	0.560	FORREST	1	speech	regular	address	Jenny	
2137.880	0.520	ERZAEHLER	1	speech	regular	HS	Sie stoppt.	
2139.680	1.480	FORREST	1	speech	regular	HS	Ich werde dir jeden Tag schreiben.	
2150.560	144.520	CREEDENCE CLEARWATER REVIVAL	1	song	regular		“Fortunate Son”	
2151.800	2.360	ERZAEHLER	1	speech	regular	HS	Der Schatten eines Hubschraubers gleitet über Reisfelder. 	
2154.400	2.440	ERZAEHLER	1	speech	regular	HS	In der offenen Tür sitzt ein Bordschütze am Maschinengewehr.	
2159.560	1.760	ERZAEHLER	1	speech	regular	HS	Er schaut zu Forrest und Bubba neben ihm.	
2161.520	2.080	ERZAEHLER	1	speech	regular	HS	Die beiden weichen seinem Blick eingeschüchtert aus.	
2164.600	3.160	CREEDENCE CLEARWATER REVIVAL	1	singing	regular	foreign	Some folks are born made to wave the flag.	
2168.200	1.960	CREEDENCE CLEARWATER REVIVAL	1	singing	regular	foreign	Ooh, They're red, White and blue.	
2170.400	3.200	ERZAEHLER	1	speech	regular	HS	Der Hubschrauber landet auf einem Stützpunkt neben einem anderen Helikopter.	
2173.800	1.520	ERZAEHLER	1	speech	regular	HS	Zwei Soldaten erwarten ihn.	
2175.600	2.520	ERZAEHLER	1	speech	regular	HS	Bubba und Forrest springen mit ihren Gepäcksäcken raus.	
2187.040	6.240	FORREST (V.O.)	1	speech	regular	HS;NS	Also, Sie haben uns erzählt, Vietnam wäre ganz anders als die Vereinigten Staaten von Amerika.	
2194.040	1.960	FORREST (V.O.)	1	speech	regular;addendum	none	...und abgesehen vom Barbecue...	
2196.240	1.040	FORREST (V.O.)	1	speech	regular;addendum	none	...und von den Bierdosen...	
2197.600	0.800	FORREST (V.O.)	1	speech	regular	completion;HS	...wars das auch.	
2198.720	2.880	ERZAEHLER	1	speech	regular	AND	An einem Fluss grillen Soldaten zwischen Palmen und trinken Bier.	
2201.960	1.000	ERZAEHLER	1	speech	regular	HS	Einige spielen Karten.	
2203.280	2.480	ERZAEHLER	1	speech	regular	HS	Im Hintergrund fliegt eine Hubschrauberstaffel den Fluss entlang.	
2206.120	2.040	ERZAEHLER	1	speech	regular	HS	Forrest und Bubba gehen mit ihrem Gepäck darauf zu.	
2208.400	2.160	BUBBA	1	speech	regular	HS	In dem Wasser gibt's garantiert Shrimps in Massen.	
2211.200	1.960	BUBBA	1	speech	regular	HS;NS	Das heißt, in Vietnam kann man gut Shrimp fischen.	###object###
2214.240	10.160	BUBBA	1	speech	regular	complex	Ich sag dir was, wenn wir den Krieg gewonnen haben und und wir alles übernommen haben, holen wir uns Shrimpfischer aus Amerika und holen die Shrimps hier raus. Wir werden die ganze Zeit Shrimps fangen, Mann, so viele Shrimps, also das kannst du dir gar nicht vorstellen.	
2224.440	1.440	ERZAEHLER	1	speech	regular	none	Ein Soldat mit nacktem Oberkörper	
2225.920	1.240	LT. DAN	1	speech	asking	question	Ihr seid die beiden Neuen, hu?	
2227.960	1.040	BUBBA	1	speech	regular	address	Guten Morgen, Sir	
2227.960	1.040	FORREST	1	speech	regular	address	Guten Morgen, Sir	
2229.040	1.240	LT. DAN	1	speech	regular	complex	Hey! Hände runter, ja?	
2231.000	4.680	LT. DAN	1	speech	regular	complex	Salutiert nicht vor mir, es wimmelt hier nur so von beschissenen Scharfschützen, die gerne Offiziere abknallen.	
2236.840	1.160	LT. DAN	1	speech	regular	HS	Ich bin Lieutenant Dan Taylor.	
2238.040	1.160	LT. DAN	1	speech	exclamation	none	Willkommen im vierten Platoon	
2240.960	0.880	LT. DAN	1	speech	asking	question	Was is'n mit deiner Lippe?	
2243.520	1.800	BUBBA	1	speech	regular	HS;address	Ich bin schon so auf die Welt gekommen, Sir.	
2245.760	1.240	LT. DAN	1	speech	regular	imperative	Naja gut, zieh sie lieber ein.	
2247.640	1.720	LT. DAN	1	speech	regular;addendum	NS	...sonst hängst du irgendwann am Stacheldraht fest.	###NS?###
2249.600	1.240	ERZAEHLER	1	speech	regular	HS	Bubba zieht die Unterlippe ein.	
2251.440	1.160	LT. DAN	1	speech	asking	question	Wo kommt ihr zwei denn her?	
2252.880	0.960	BUBBA	1	speech	regular	address	Alabama, Sir.	
2252.880	0.960	FORREST	1	speech	regular	address	Alabama, Sir.	
2254.400	1.080	LT. DAN	1	non	regular	none	pfff ha	###bißchen ausatmen###
2255.640	0.880	LT. DAN	1	speech	asking	question	Seid ihr Zwillinge?	
2256.840	2.240	ERZAEHLER	1	speech	regular	AND	Forrest und Bubba mustern sich und schütteln den Kopf.	
2259.360	0.280	FORREST	1	speech	regular	none	Nein	
2259.800	0.920	FORREST	1	speech	regular	HS	Wir sind nicht verwandt.	
2260.800	0.360	FORREST	1	speech	regular	address	Sir	
2263.760	0.400	LT. DAN	1	speech	regular	none	Na, gut	
2265.040	1.080	LT. DAN	1	speech	regular	HS	Es ist ziemlich einfach hier.	
2266.160	0.720	ERZAEHLER	1	speech	regular	HS	Sie folgen Dan.	
2267.360	0.800	LT. DAN	1	speech	regular	imperative	Bleibt bei mir.	
2268.680	2.840	LT. DAN	1	speech	regular	HS;NS;NS	Und lernt was von den Jungs, die schon ne Weile hier sind, dann geht alles glatt.	
2272.480	4.320	LT. DAN	1	speech	regular	HS;NS	In eurem Marschgepäck gibt es was, das kann den Unterschied zwischen einem lebenden und einem toten Soldaten bedeuten.	
2278.560	60.440	LT. DAN	1	speech	regular	none	Socken	
2279.640	1.840	LT. DAN	1	speech	regular	none	Frotteesohle und olivgrün	
2281.720	2.440	LT. DAN	1	speech	regular	imperative;NS	Sorgt immer für trockene Füße, wenn wir draußen rummaschieren. 	
2284.240	2.440	LT. DAN	1	speech	regular	imperative;NS	Vergesst das nicht, bei jedem Halt die Socken wechseln.	
2286.920	2.400	LT. DAN	1	speech	regular	HS	Der Vietcong frisst den Soldaten den Fuß direkt vom Bein.	
2289.760	1.160	LT. DAN	1	speech	regular	address	Sergeant Sims	
2291.200	2.760	LT. DAN	1	speech	regular	question;NS	Verdammt nochmal, wo bleiben die Seile, die sie bestellen sollen.	
2293.800	1.400	SGT. SIMS	1	speech	regular	HS	Die hab ich in der Materialkammer beim Battalion angefordert.	###timing###
2295.160	2.240	LT. DAN	1	speech	regular	imperative	Ja, Ja, Ja. Dann rufen sie diese Schreibstubenwichser nochmal an.	###trennen###
2297.440	2.400	FORREST (V.O.)	1	speech	regular	HS	Lt. Dan, der verstand was von seinem Job.	
2299.880	1.920	FORREST (V.O.)	1	speech	regular	HS;NS	Ich war richtig froh, dass er mein Lieutenant war.	
2302.240	3.640	FORREST (V.O.)	1	speech	regular	HS	Er kam aus einer Familie mit ruhmreicher, militärischer Tradition.	
2306.120	3.480	FORREST (V.O.)	1	speech	regular	AND	Irgendjemand in seiner Familie hat immer gekämpft und ist gefallen.	
2310.600	3.920	FORREST (V.O.)	1	speech	regular;addendum	none	In jedem einzelnen amerikanischen Krieg.	###movie only###
2310.520	3.920	ERZAEHLER	1	speech	regular	HS;NS;HS	Soldaten, die genau wie Dan aussehen, sterben in vier historischen Kriegen.	
2315.080	1.600	LT. DAN	1	speech	regular	HS	Sie müssen denen einfach in den Arsch treten.	
